[2015-01-24 0:53:32.499669] [INFO] www.lemonde.fr/ -> 100 tweets found
[2015-01-24 0:53:50.427942] [INFO] www.lemonde.fr/societe/article/2015/01/23/pour-le-personnel-penitentiaire-regrouper-les-detenus-radicalises-n-est-pas-la-solution_*_** -> 0 tweets found
[2015-01-24 0:53:59.311482] [INFO] www.lemonde.fr/economie/article/2015/01/23/a-davos-l-image-redoree-de-la-france_*_** -> 0 tweets found
[2015-01-24 0:54:05.516273] [INFO] www.lemonde.fr/societe/article/2015/01/23/a-la-veille-du-proces-stephane-courbit-s-engage-a-rendre-143-7-millions-d-euros-a-liliane-bettencourt_*_** -> 0 tweets found
[2015-01-24 0:56:00.374541] [INFO] www.lemonde.fr/economie/article/2015/01/23/luxleaks-un-second-francais-inculpe-de-vol-et-blanchiment-au-luxembourg_*_** -> 0 tweets found
[2015-01-24 0:56:03.009207] [INFO] www.lemonde.fr/economie/article/2015/01/23/velo-l-indemnisation-kilometrique-porte-ses-fruits_*_** -> 0 tweets found
[2015-01-24 10:56:02.668415] [INFO] www.lemonde.fr/actualite-medias/article/2015/01/22/musulmans-philippe-tesson-admet-un-derapage-mais-se-defend-sur-le-fond_*_** -> 4 tweets found
[2015-01-24 15:55:52.125317] [INFO] getFeed @acrimed_info -> 0 tweets found
[2015-01-24 15:56:17.832149] [INFO] getFeed @acrimed_info -> 0 tweets found
[2015-01-24 16:03:52.701472] [INFO] getFeed @acrimed_info -> 0 tweets found
[2015-01-24 16:05:26.364224] [INFO] getFeed @acrimed_info -> 0 tweets found
[2015-01-24 16:06:09.175453] [INFO] getFeed @acrimed_info -> 0 tweets found
[2015-01-24 16:07:08.779133] [INFO] getFeed @acrimed_info -> 0 tweets found
[2015-01-24 16:09:25.417422] [INFO] getFeed @acrimed_info -> 0 tweets found
[2015-01-24 16:10:11.405679] [INFO] getFeed @acrimed_info -> 0 tweets found
[2015-01-24 16:10:28.501422] [INFO] getFeed @acrimed_info -> 0 tweets found
[2015-01-24 16:11:45.982254] [INFO] getFeed @acrimed_info -> 0 tweets found
[2015-01-24 16:12:36.392662] [INFO] getFeed @acrimed_info -> 0 tweets found
[2015-01-24 16:13:09.854171] [INFO] getFeed @acrimed_info -> 0 tweets found
[2015-01-24 16:14:59.537801] [INFO] getFeed @acrimed_info -> 0 tweets found
[2015-01-24 16:15:45.650068] [INFO] getFeed @acrimed_info -> 0 tweets found
[2015-01-24 16:25:10.277014] [INFO] getFeed @acrimed_info -> 0 tweets found
[2015-01-24 16:25:53.992285] [INFO] getFeed @acrimed_info -> 0 tweets found
[2015-01-24 16:28:48.333163] [INFO] getFeed @acrimed_info -> 0 tweets found
[2015-01-24 16:30:00.132791] [INFO] getFeed @acrimed_info -> 0 tweets found
[2015-01-24 16:30:32.193375] [INFO] getFeed @acrimed_info -> 0 tweets found
[2015-01-24 16:31:33.979351] [INFO] getFeed @acrimed_info -> 0 tweets found
[2015-01-24 17:09:35.774095] [INFO] getFeed @acrimed_info -> 0 tweets found
[2015-01-24 17:17:25.421010] [INFO] getFeed @acrimed_info -> 0 tweets found
[2015-01-24 17:18:59.963781] [INFO] getFeed @acrimed_info -> 0 tweets found
[2015-01-24 17:20:17.209249] [INFO] getFeed @acrimed_info -> 0 tweets found
